id,product_id,size,variant_price,description
255,29,Age 8-9,14.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
256,29,Age 9-10,14.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
257,29,Age 11-12,14.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
259,30,Age 3-4,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Junior Banbury Deep Waist Skirt offers a traditional pleated style, ideal for every season. The elasticated back and pull-on design provide extra comfort throughout the school day.
pull on pleated skirt
deep yoke
elasticated back waist
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
260,30,Age 4-5,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Junior Banbury Deep Waist Skirt offers a traditional pleated style, ideal for every season. The elasticated back and pull-on design provide extra comfort throughout the school day.
pull on pleated skirt
deep yoke
elasticated back waist
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
261,30,Age 6-7,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Junior Banbury Deep Waist Skirt offers a traditional pleated style, ideal for every season. The elasticated back and pull-on design provide extra comfort throughout the school day.
pull on pleated skirt
deep yoke
elasticated back waist
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
262,30,Age 8-9,12.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Junior Banbury Deep Waist Skirt offers a traditional pleated style, ideal for every season. The elasticated back and pull-on design provide extra comfort throughout the school day.
pull on pleated skirt
deep yoke
elasticated back waist
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
263,30,Age 9-10,12.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Junior Banbury Deep Waist Skirt offers a traditional pleated style, ideal for every season. The elasticated back and pull-on design provide extra comfort throughout the school day.
pull on pleated skirt
deep yoke
elasticated back waist
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
264,30,Age 11-12,12.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Junior Banbury Deep Waist Skirt offers a traditional pleated style, ideal for every season. The elasticated back and pull-on design provide extra comfort throughout the school day.
pull on pleated skirt
deep yoke
elasticated back waist
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
266,31,Age 3-4,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Junior Banbury Deep Waist Skirt offers a traditional pleated style, ideal for every season. The elasticated back and pull-on design provide extra comfort throughout the school day.
pull on pleated skirt
deep yoke
elasticated back waist
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
