id,product_id,size,price,description
15583,2708,"2 (24"")",£34.99,
15584,2708,"3 (25"")",£34.99,
15585,2708,"4 (26"")",£34.99,
15586,2708,"5 (27"")",£34.99,
15587,2708,"6 (28"")",£34.99,
15588,2708,"7 (29"")",£34.99,
15589,2708,"8 (30"")",£34.99,
15590,2708,"9 (31"")",£34.99,
15591,2708,"10 (32"")",£34.99,
15592,2709,Choose Options,£34.99,
15593,2709,"0 (22"")",£34.99,
15594,2709,"1 (23"")",£34.99,
15595,2709,"2 (24"")",£34.99,
15596,2709,"3 (25"")",£34.99,
15597,2709,"4 (26"")",£34.99,
15598,2709,"5 (27"")",£34.99,
15599,2709,"6 (28"")",£34.99,
15600,2709,"7 (29"")",£34.99,
15601,2709,"8 (30"")",£34.99,
15602,2709,"9 (31"")",£34.99,
15603,2709,"10 (32"")",£34.99,
15604,2712,Choose Options,£18.99,
15605,2712,"24""",£18.99,
15606,2712,"26""",£18.99,
15607,2712,"28""",£18.99,
15608,2712,"30""",£18.99,
15609,2712,"32""",£18.99,
15610,2712,"34""",£18.99,
15611,2712,"36""",£18.99,
15612,2715,Choose Options,£16.99,
15613,2715,Age 3/4,£16.99,
15614,2715,Age 5/6,£16.99,
15615,2715,Age 7/8,£16.99,
15616,2715,Age 9/10,£16.99,
15617,2715,Age 11/12,£16.99,
15618,2715,Age 13,£16.99,
15619,2715,Small Adults,£16.99,
15620,2717,Choose Options,£69.99,
15621,2717,"0 (22"")",£69.99,
15622,2717,"1 (23"")",£69.99,
15623,2717,"2 (24"")",£69.99,
15624,2717,"3 (25"")",£69.99,
15625,2717,"4 (26"")",£69.99,
15626,2717,"5 (27"")",£69.99,
15627,2717,"6 (28"")",£69.99,
15628,2717,"7 (29"")",£69.99,
15629,2717,"8 (30"")",£69.99,
15630,2717,"9 (31"")",£69.99,
15631,2717,"10 (32"")",£69.99,
15632,2718,Choose Options,£69.99,
15633,2718,"0 (22"")",£69.99,
15634,2718,"1 (23"")",£69.99,
15635,2718,"2 (24"")",£69.99,
15636,2718,"3 (25"")",£69.99,
15637,2718,"4 (26"")",£69.99,
15638,2718,"5 (27"")",£69.99,
15639,2718,"6 (28"")",£69.99,
15640,2718,"7 (29"")",£69.99,
15641,2718,"8 (30"")",£69.99,
15642,2718,"9 (31"")",£69.99,
15643,2718,"10 (32"")",£69.99,
15644,2719,Choose Options,£36.00,
15645,2719,Round Neck,£36.00,
15646,2719,V - Neck,£36.00,
15647,2719,1 of each,£36.00,
15648,2720,Choose Options,£4.00,
15649,2720,25,£4.00,
15650,2720,50,£4.00,
15651,2721,Choose Options,£8.29,
15652,2721,6 (Childrens),£8.29,
15653,2721,7 (Childrens),£8.29,
15654,2721,8 (Childrens),£8.29,
15655,2721,9 (Childrens),£8.29,
15656,2721,10 (Childrens),£8.29,
15657,2721,11 (Childrens),£8.29,
15658,2721,12 (Childrens),£8.29,
15659,2721,13 (Childrens),£8.29,
15660,2721,1,£8.29,
15661,2721,2,£8.29,
15662,2721,3,£8.29,
15663,2721,4,£8.89,
15664,2721,5,£8.89,
15665,2721,6,£8.89,
15666,2721,7,£9.99,
15667,2722,Choose Options,£69.00,
15668,2722,Reversible Fleece Lined Jacket,£69.00,
15669,2722,Soft Shell Jacket,£69.00,
15670,2723,Choose Options,£48.00,
15671,2723,Hooded Zippers,£48.00,
15672,2723,Hooded Pullovers,£48.00,
15673,2723,1 of each,£48.00,
15674,2724,Choose Options,£62.00,
15675,2724,"22""",£62.00,
15676,2724,"23""",£62.00,
15677,2724,"24""",£62.00,
15678,2724,"25""",£62.00,
15679,2724,"26""",£62.00,
15680,2724,"28""",£62.00,
15681,2725,Choose Options,£14.99,
15682,2725,"24""",£14.99,
15683,2725,"26""",£14.99,
15684,2725,"28""",£14.99,
15685,2725,"30""",£14.99,
15686,2725,"32""",£14.99,
15687,2725,"34""",£14.99,
15688,2725,"36""",£14.99,
15689,2727,Choose Options,£16.99,
15690,2727,Age 3/4,£16.99,
15691,2727,Age 5/6,£16.99,
15692,2727,Age 7/8,£16.99,
15693,2727,Age 9/10,£16.99,
15694,2727,Age 11/12,£16.99,
15695,2727,Age 13,£16.99,
15696,2727,Small Adults,£16.99,
15697,2728,Choose Options,£16.99,
15698,2728,Age 3/4,£16.99,
15699,2728,Age 5/6,£16.99,
15700,2728,Age 7/8,£16.99,
15701,2728,Age 9/10,£16.99,
15702,2728,Age 11/12,£16.99,
15703,2728,Age 13,£16.99,
15704,2728,Small Adults,£16.99,
15705,2729,Choose Options,£34.99,
15706,2729,"0 (22"")",£34.99,
15707,2729,"1 (23"")",£34.99,
15708,2729,"2 (24"")",£34.99,
15709,2729,"3 (25"")",£34.99,
15710,2729,"4 (26"")",£34.99,
15711,2729,"5 (27"")",£34.99,
15712,2729,"6 (28"")",£34.99,
15713,2729,"7 (29"")",£34.99,
15714,2729,"8 (30"")",£34.99,
15715,2729,"9 (31"")",£34.99,
15716,2729,"10 (32"")",£34.99,
15717,2735,Choose Options,£24.99,
15718,2735,Age 3/4,£24.99,
15719,2735,Age 5/6,£24.99,
15720,2735,Age 7/8,£24.99,
15721,2735,Age 9/10,£24.99,
15722,2735,Age 11/12,£24.99,
15723,2735,Age 13,£24.99,
15724,2735,Small Adults,£24.99,
15725,2736,Choose Options,£14.99,
15726,2736,Age 3/4,£14.99,
15727,2736,Age 5/6,£14.99,
15728,2736,Age 7/8,£14.99,
15729,2736,Age 9/10,£14.99,
15730,2736,Age 11/12,£14.99,
15731,2736,Age 13,£14.99,
15732,2736,Small Adults,£14.99,
15733,2737,Choose Options,£16.99,
15734,2737,"24""",£16.99,
15735,2737,"26""",£16.99,
15736,2737,"28""",£16.99,
15737,2737,"30""",£16.99,
15738,2737,"32""",£16.99,
15739,2737,"34""",£16.99,
15740,2737,"36""",£16.99,
15741,2738,Choose Options,£12.99,
15742,2738,Age 3/4,£12.99,
15743,2738,Age 5/6,£12.99,
15744,2738,Age 7/8,£12.99,
15745,2738,Age 9/10,£12.99,
15746,2738,Age 11/12,£12.99,
15747,2738,Age 13,£12.99,
15748,2738,Small Adults,£12.99,
15749,2739,Choose Options,£9.99,
15750,2739,Age 3/4,£9.99,
15751,2739,Age 5/6,£9.99,
15752,2739,Age 7/8,£9.99,
15753,2739,Age 9/10,£9.99,
15754,2739,Age 11/12,£9.99,
15755,2739,Age 13,£9.99,
15756,2739,Small Adults,£9.99,
15757,2740,Choose Options,£9.99,
15758,2740,Age 3/4,£9.99,
15759,2740,Age 5/6,£9.99,
15760,2740,Age 7/8,£9.99,
15761,2740,Age 9/10,£9.99,
15762,2740,Age 11/12,£9.99,
15763,2740,Age 13,£9.99,
15764,2740,Small Adults,£9.99,
15765,2741,Choose Options,£9.99,
15766,2741,Age 3/4,£9.99,
15767,2741,Age 5/6,£9.99,
15768,2741,Age 7/8,£9.99,
15769,2741,Age 9/10,£9.99,
15770,2741,Age 11/12,£9.99,
15771,2741,Age 13,£9.99,
15772,2741,Small Adults,£9.99,
15773,2742,Choose Options,£34.99,
15774,2742,"0 (22"")",£34.99,
15775,2742,"1 (23"")",£34.99,
15776,2742,"2 (24"")",£34.99,
15777,2742,"3 (25"")",£34.99,
15778,2742,"4 (26"")",£34.99,
15779,2742,"5 (27"")",£34.99,
15780,2742,"6 (28"")",£34.99,
15781,2742,"7 (29"")",£34.99,
15782,2742,"8 (30"")",£34.99,
