school_name,store_page,schoolsupplier_id,products
Fishermoss Primary,https://schoolwearmadeeasy.com/collections/fishermoss-primary,,
Fordbank Primary,https://schoolwearmadeeasy.com/collections/fordbank-primary,,
Forgandenny Primary,https://schoolwearmadeeasy.com/collections/forgandenny-primary,,
Friockheim Primary,https://schoolwearmadeeasy.com/collections/friockheim-primary,,
Froxfield Primary,https://schoolwearmadeeasy.com/collections/froxfield-primary,,
Gairloch Primary,https://schoolwearmadeeasy.com/collections/gairloch-primary,,
Gallowhill Primary,https://schoolwearmadeeasy.com/collections/gallowhill-primary,,
Galston Primary,https://schoolwearmadeeasy.com/collections/galston-primary,,
Garnetbank Primary ,https://schoolwearmadeeasy.com/collections/garnetbank-primary,,
Garnock Primary,https://schoolwearmadeeasy.com/collections/garnock-primary,,
Gartocharn Primary,https://schoolwearmadeeasy.com/collections/gartocharn-primary,,
Gateside Primary,https://schoolwearmadeeasy.com/collections/gateside-primary,,
Gavinburn Primary,https://schoolwearmadeeasy.com/collections/gavinburn-primary,,
Gergask Primary,https://schoolwearmadeeasy.com/collections/gergask-primary,,
Giffnock Primary,https://schoolwearmadeeasy.com/collections/giffnock-primary,,
Glasgow Gaelic Primary,https://schoolwearmadeeasy.com/collections/bunsgoil-ghaidhlig-ghlaschu,,
Glencairn Primary,https://schoolwearmadeeasy.com/collections/glencairn-primary,,
Glencoats Primary,https://schoolwearmadeeasy.com/collections/glencoats-primary,,
Glendale Gaelic Primary,https://schoolwearmadeeasy.com/collections/glendale-gaelic-primary,,
Glenelg Primary,https://schoolwearmadeeasy.com/collections/glenelg-primary,,
Glengarnock Primary,https://schoolwearmadeeasy.com/collections/glengarnock-primary,,
Glenurquhart Gaelic Primary,https://schoolwearmadeeasy.com/collections/glenurquhart-gaelic-primary,,
Glenurquhart Primary,https://schoolwearmadeeasy.com/collections/glenurquhart-primary,,
Goldenhill Primary,https://schoolwearmadeeasy.com/collections/goldenhill-primary,,
Golfhill Primary,https://schoolwearmadeeasy.com/collections/golfhill-primary,,
Golspie Primary,https://schoolwearmadeeasy.com/collections/golspie-primary,,
Gordon Primary,https://schoolwearmadeeasy.com/collections/gordon-primary,,
Gorebridge Primary,https://schoolwearmadeeasy.com/collections/gorebridge-primary,,
Gourdon Primary,https://schoolwearmadeeasy.com/collections/gourdon-primary,,
Govan Gaelic Primary,https://schoolwearmadeeasy.com/collections/govan-gaelic-primary,,
Greengairs Primary,https://schoolwearmadeeasy.com/collections/greengairs-primary,,
Greenhills Primary East Kilbride,https://schoolwearmadeeasy.com/collections/greenhills-primary-east-kilbride,,
Halkirk Primary,https://schoolwearmadeeasy.com/collections/halkirk-primary,,
Hampden School,https://schoolwearmadeeasy.com/collections/hampden-school,,
Harting Primary,https://schoolwearmadeeasy.com/collections/harting-primary,,
Haysholm School,https://schoolwearmadeeasy.com/collections/haysholm-school,,
Hazelwood School,https://schoolwearmadeeasy.com/collections/hazelwood-school,,
Heathery Knowe Primary,https://schoolwearmadeeasy.com/collections/heathery-knowe-primary,,
Helmsdale Primary,https://schoolwearmadeeasy.com/collections/helmsdale-primary,,
Heriot Primary,https://schoolwearmadeeasy.com/collections/heriot-primary,,
Hermitage Primary,https://schoolwearmadeeasy.com/collections/hermitage-primary,,
Highampton Primary,https://schoolwearmadeeasy.com/collections/highampton-primary,,
Hillview Primary,https://schoolwearmadeeasy.com/collections/hillview-primary,,
Hilton of Cadboll,https://schoolwearmadeeasy.com/collections/hilton-of-cadboll,,
Hilton Primary,https://schoolwearmadeeasy.com/collections/hilton-primary,,
Hollywater School,https://schoolwearmadeeasy.com/collections/hollywater-school,,
Holm Primary,https://schoolwearmadeeasy.com/collections/holm-primary,,
Houston Primary,https://schoolwearmadeeasy.com/collections/houston-primary,,
Howford Primary,https://schoolwearmadeeasy.com/collections/howford-school,,
Howwood Primary,https://schoolwearmadeeasy.com/collections/howwood-primary,,
Inchinnan Primary,https://schoolwearmadeeasy.com/collections/inchinnan-primary,,
Inshes Primary,https://schoolwearmadeeasy.com/collections/inshes-primary,,
Invergarry Primary,https://schoolwearmadeeasy.com/collections/invergarry-primary,,
Inverlochy Primary,https://schoolwearmadeeasy.com/collections/inverlochy-primary,,
James McFarlane,https://schoolwearmadeeasy.com/collections/james-mcfarlane-school,,
James Reid School,https://schoolwearmadeeasy.com/collections/james-reid-school,,
Johnshaven Primary,https://schoolwearmadeeasy.com/collections/johnshaven-primary,,
Juniper Green Primary,https://schoolwearmadeeasy.com/collections/juniper-green-primary,,
Keiss Primary,https://schoolwearmadeeasy.com/collections/keiss-primary,,
Kellands Primary,https://schoolwearmadeeasy.com/collections/kellands-primary,,
Kemnay Primary,https://schoolwearmadeeasy.com/collections/kemnay-primary,,
Kilchuimen Primary,https://schoolwearmadeeasy.com/collections/kilchuimen-primary,,
Killermont Primary,https://schoolwearmadeeasy.com/collections/killermont-primary,,
Kilmacolm Primary ,https://schoolwearmadeeasy.com/collections/kilmacolm-primary,,
Kilmory Primary,https://schoolwearmadeeasy.com/collections/kilmory-primary,,
Kilmuir Primary,https://schoolwearmadeeasy.com/collections/kilmuir-primary,,
Kingcase Primary,https://schoolwearmadeeasy.com/collections/kingcase-primary,,
