school_name,store_page
"HARLESTON SANCROFT ACADEMY, HARLESTON",https://www.stevensons.co.uk/school-finder/archbishop-sancroft-high-school-harleston
"HARPENDEN ACADEMY, HARPENDEN",https://www.stevensons.co.uk/school-finder/harpenden-academy-harpenden
"HARRIS ACADEMY, BERMONDSEY",https://www.stevensons.co.uk/school-finder/harris-academy-bermondsey-24
"HARRIS ACADEMY, BEULAH HILL",https://www.stevensons.co.uk/school-finder/harris-academy-beulah-hill
"HARRIS ACADEMY, MERTON",https://www.stevensons.co.uk/school-finder/harris-academy-merton
"HARRIS ACADEMY, MORDEN",https://www.stevensons.co.uk/school-finder/harris-academy-morden
"HARRIS ACADEMY, PECKHAM",https://www.stevensons.co.uk/school-finder/harris-academy-peckham-2
"HARRIS ACADEMY, PURLEY",https://www.stevensons.co.uk/school-finder/harris-academy-purley-8
"HARRIS ACADEMY, SOUTH NORWOOD",https://www.stevensons.co.uk/school-finder/harris-academy-south-norwood
"HARRIS ACADEMY, SUTTON",https://www.stevensons.co.uk/school-finder/harris-academy-sutton
"HARRIS ACADEMY, WIMBLEDON",https://www.stevensons.co.uk/school-finder/harris-academy-wimbledon
"HARRIS BOYS' ACADEMY, EAST DULWICH",https://www.stevensons.co.uk/school-finder/harris-boys-academy-east-dulwich
"HARRIS CITY ACADEMY, CRYSTAL PALACE",https://www.stevensons.co.uk/school-finder/harris-city-academy-crystal-palace
"HARRIS GIRLS' ACADEMY, EAST DULWICH",https://www.stevensons.co.uk/school-finder/harris-girls-academy-east-dulwich-2
"HARRIS INVICTUS ACADEMY, CROYDON",https://www.stevensons.co.uk/school-finder/harris-invictus-academy-croydon
"HARRIS JUNIOR ACADEMY, CARSHALTON",https://www.stevensons.co.uk/school-finder/harris-junior-academy-carshalton
"HARRIS PRIMARY ACADEMY, BENSON",https://www.stevensons.co.uk/school-finder/harris-primary-academy-benson
"HARRIS PRIMARY ACADEMY, CROYDON",https://www.stevensons.co.uk/school-finder/harris-primary-academy-croydon
"HARRIS PRIMARY ACADEMY, CRYSTAL PALACE",https://www.stevensons.co.uk/school-finder/harris-primary-academy-crystal-palace
"HARRIS PRIMARY ACADEMY, EAST DULWICH",https://www.stevensons.co.uk/school-finder/harris-primary-academy-east-dulwich
"HARRIS PRIMARY ACADEMY, HALING PARK",https://www.stevensons.co.uk/school-finder/harris-primary-academy-haling-park
